mine_id,company_mine_type,company_name,company_address,company_city,company_zipcode,company_injury_count,company_underground_surface
Contractor,Contractor,DRIFT EXPLORATION DRILLING,P.O. BOX 10,WINNEMUCCA,89446,0,Surface
Contractor,Contractor,PALMETTO SPLICE SERVICE INC.,P.O. BOX 7223,COLUMBIA,29202,0,Surface
Contractor,Contractor,NORTHERN FIRE & SAFETY INC,1798 NORTHERN STAR DR.,TRAVERSE CITY,49686,0,Surface
Contractor,Contractor,WESTHOFF CONSTRUCTION CO INC,6282 HIGHWAY 69,PORTER,74454,0,Surface
Contractor,Contractor,CORONA CLAY COMPANY,22079 KNABE RD,CORONA,92883,0,Surface
Contractor,Contractor,BLANCHARD MACHINERY CO,P.O. BOX 7517,COLUMBIA,29202,0,Surface
Contractor,Contractor,BILLETT ELECTRIC,20549 ROUTE 119,PUNXSUTAWNEY,15767,0,Surface
Contractor,Contractor,BILLETT ELECTRIC,20549 ROUTE 119,PUNXSUTAWNEY,15767,0,Surface
Contractor,Contractor,PARRISH ELECTRICAL SERIVCE,P.O. BOX 3114,PHOENIX CITY,36868,0,Surface
Contractor,Contractor,FQS BEAR EQUIPMENT INC,P.O. BOX 84039,LEXINGTON,29073,0,Surface
Contractor,Contractor,FQS BEAR EQUIPMENT INC,P.O. BOX 84039,LEXINGTON,29073,0,Surface
Contractor,Contractor,PARKER CONSTRUCTION,P.O. BOX 147,WORTHEN,31094,0,Surface
Contractor,Contractor,VERSATILE FABRICATION,2708 9TH ST,MUSKEGON HGTS,49444,1,Surface
Contractor,Contractor,AMERICAN TANK & VESSEL,15810 PARK TEN PL STE 210,HOUSTON,77084,0,Surface
Contractor,Contractor,STEVES ELECTRICAL & REPAIR INC,175 INDIAN SPRINGS DR,CEDAR BLUFF,24609,0,Underground
Contractor,Contractor,CERTIFIED SHEET METAL,2458 WALDORF CRT,WALKER,49544,0,Surface
Contractor,Contractor,CARDAN LABORATORIES INC,P.O. BOX 541,NORTHERN CAMB,15714,0,Surface
